NOME,PLATAFORMA,GENERO,VENDAS(AN),VENDAS(EU),VENDAS(JP),VENDAS(Outros),VENDAS(GLOBAL),soma_total
Wii Sports,Wii,Sports,41.36,28.96,3.77,8.45,82.53,32.730000000000004
Super Mario Bros.,NES,Platform,29.08,3.58,6.81,0.77,40.24,10.39
Mario Kart Wii,Wii,Racing,15.68,12.76,3.79,3.29,35.52,16.55
Wii Sports Resort,Wii,Sports,15.61,10.93,3.28,2.95,32.77,14.209999999999999
Pokemon Red/Pokemon Blue,GB,Role-Playing,11.27,8.89,10.22,1.0,31.37,19.11
Tetris,GB,Puzzle,23.2,2.26,4.22,0.58,30.26,6.4799999999999995
New Super Mario Bros.,DS,Platform,11.28,9.14,6.5,2.88,29.8,15.64
Wii Play,Wii,Misc,13.96,9.18,2.93,2.84,28.92,12.11
New Super Mario Bros. Wii,Wii,Platform,14.44,6.94,4.7,2.24,28.32,11.64
Duck Hunt,NES,Shooter,26.93,0.63,0.28,0.47,28.31,0.91
Nintendogs,DS,Simulation,9.05,10.95,1.93,2.74,24.67,12.879999999999999
Mario Kart DS,DS,Racing,9.71,7.47,4.13,1.9,23.21,11.6
Pokemon Gold/Pokemon Silver,GB,Role-Playing,9.0,6.18,7.2,0.71,23.1,13.379999999999999
Wii Fit,Wii,Sports,8.92,8.03,3.6,2.15,22.7,11.629999999999999
Kinect Adventures!,X360,Misc,15.0,4.89,0.24,1.69,21.81,5.13
Wii Fit Plus,Wii,Sports,9.01,8.49,2.53,1.77,21.79,11.02
Grand Theft Auto V,PS3,Action,7.02,9.09,0.98,3.96,21.04,10.07
Grand Theft Auto: San Andreas,PS2,Action,9.43,0.4,0.41,10.57,20.81,0.81
Super Mario World,SNES,Platform,12.78,3.75,3.54,0.55,20.61,7.29
Brain Age: Train Your Brain in Minutes a Day,DS,Misc,4.74,9.2,4.16,2.04,20.15,13.36
Pokemon Diamond/Pokemon Pearl,DS,Role-Playing,6.38,4.46,6.04,1.36,18.25,10.5
Super Mario Land,GB,Platform,10.83,2.71,4.18,0.42,18.14,6.89
